137,Starboy,230,english,25,19
138,The Hills,242,english,76,20
139,Die For You,260,english,25,19
140,Can't Feel My Face,215,english,76,3
141,Stargirl Interlude,112,english,25,19
142,Call Out My Name,228,english,77,19
143,I Feel It Coming,269,english,25,16
144,Heartless,198,english,11,19
145,Sidewalks,231,english,25,6
146,Fell in Love With a Girl,110,english,78,6
147,Icky Thump,257,english,79,6
148,Blue Orchid,157,english,80,6
149,We're Going to Be Friends,148,english,78,22
150,Black Math,184,english,12,6
151,I Just Don't Know What to Do With Myself,166,english,12,9
152,My Doorbell,241,english,80,23
153,Dead Leaves and the Dirty Ground,184,english,78,6
154,Enter Sandman,331,english,81,7
155,Nothing Else Matters,388,english,81,7
156,One,447,english,82,7
157,The Unforgiven,387,english,81,7
158,Sad but True,324,english,81,7
159,Fuel,266,english,83,7
160,Whiskey in the Jar,305,english,84,7
161,Wherever I May Roam,404,english,81,7
